sale_id,date,product_id,contract_id,qty,price,revenue,product_name,category,type,min_price,max_price,is_active,client,contracted_monthly_qty,contracted_price,duration_days,year,month,quarter,week,ym,weekday,total_material_cost,material_cost_total,gross_margin,margin_pct
0,2020-08-07,BL_KIT,CON_9,100,3373,337300,Kitchen Blender,Kitchen,Blender,2500,3500,True,Industrial_Client_9,116,2750,1826,2020,8,3,32,2020-08,Friday,102,10200,327100,96.98
1,2023-11-15,FAN_STD,CON_7,130,2331,303030,Fan,Cooling,Standard,1800,3000,True,Industrial_Client_7,455,2528,1826,2023,11,4,46,2023-11,Wednesday,88,11440,291590,96.22
2,2021-12-23,MX_IND,CON_22,102,10589,1080078,Industrial Mixer,Industrial,Mixer,6000,12000,True,Industrial_Client_22,450,11307,1826,2021,12,4,51,2021-12,Thursday,59,6018,1074060,99.44
3,2023-07-20,BL_IND,CON_1,125,5452,681500,Industrial Blender,Industrial,Blender,4000,7000,True,Industrial_Client_1,131,5291,1826,2023,7,3,29,2023-07,Thursday,86,10750,670750,98.42
4,2022-04-17,EX_FLAT,CON_4,88,1852,162976,Exhaust Flat,Cooling,Exhaust,1600,2200,True,Industrial_Client_4,96,1878,1826,2022,4,2,15,2022-04,Sunday,71,6248,156728,96.17
5,2020-05-26,FAN_STD,CON_6,115,2165,248975,Fan,Cooling,Standard,1800,3000,True,Industrial_Client_6,443,2990,1826,2020,5,2,22,2020-05,Tuesday,88,10120,238855,95.94
6,2024-04-19,AF_5,CON_19,122,4909,598898,Air Fryer 5L,Kitchen,AirFryer,4500,6500,True,Industrial_Client_19,152,5296,1826,2024,4,2,16,2024-04,Friday,74,9028,589870,98.49
7,2022-10-19,MX_IND,CON_8,115,6217,714955,Industrial Mixer,Industrial,Mixer,6000,12000,True,Industrial_Client_8,131,7119,1826,2022,10,4,42,2022-10,Wednesday,59,6785,708170,99.05
8,2024-02-14,FAN_STD,CON_6,140,1838,257320,Fan,Cooling,Standard,1800,3000,True,Industrial_Client_6,443,2990,1826,2024,2,1,7,2024-02,Wednesday,88,12320,245000,95.21
9,2021-08-04,EX_CIRC,CON_24,125,2795,349375,Exhaust Circular,Cooling,Exhaust,2000,2800,True,Industrial_Client_24,99,2619,1826,2021,8,3,31,2021-08,Wednesday,88,11000,338375,96.85
10,2024-04-20,AF_75,CON_2,101,7125,719625,Air Fryer 7.5L,Kitchen,AirFryer,6500,9500,True,Industrial_Client_2,160,8563,1826,2024,4,2,16,2024-04,Saturday,47,4747,714878,99.34
11,2024-05-21,MX_IND,CON_17,122,8275,1009550,Industrial Mixer,Industrial,Mixer,6000,12000,True,Industrial_Client_17,426,10455,1826,2024,5,2,21,2024-05,Tuesday,59,7198,1002352,99.29
12,2024-09-15,EX_FLAT,CON_4,118,2032,239776,Exhaust Flat,Cooling,Exhaust,1600,2200,True,Industrial_Client_4,96,1878,1826,2024,9,3,37,2024-09,Sunday,71,8378,231398,96.51
13,2024-12-04,BL_CHOP,CON_16,119,2135,254065,Chopper Blender,Kitchen,Blender,1800,2600,True,Industrial_Client_16,231,2002,1826,2024,12,4,49,2024-12,Wednesday,39,4641,249424,98.17
14,2022-11-13,BL_KIT,CON_21,123,3227,396921,Kitchen Blender,Kitchen,Blender,2500,3500,True,Industrial_Client_21,265,2642,1826,2022,11,4,45,2022-11,Sunday,102,12546,384375,96.84
15,2022-04-29,BL_KIT,CON_21,101,3287,331987,Kitchen Blender,Kitchen,Blender,2500,3500,True,Industrial_Client_21,265,2642,1826,2022,4,2,17,2022-04,Friday,102,10302,321685,96.9
16,2022-07-17,BL_CHOP,CON_11,112,2148,240576,Chopper Blender,Kitchen,Blender,1800,2600,True,Industrial_Client_11,369,2407,1826,2022,7,3,28,2022-07,Sunday,39,4368,236208,98.18
17,2021-02-28,MX_IND,CON_17,136,10120,1376320,Industrial Mixer,Industrial,Mixer,6000,12000,True,Industrial_Client_17,426,10455,1826,2021,2,1,8,2021-02,Sunday,59,8024,1368296,99.42
18,2023-10-05,BL_IND,CON_1,137,5162,707194,Industrial Blender,Industrial,Blender,4000,7000,True,Industrial_Client_1,131,5291,1826,2023,10,4,40,2023-10,Thursday,86,11782,695412,98.33
19,2020-11-26,MX_IND,CON_15,115,10367,1192205,Industrial Mixer,Industrial,Mixer,6000,12000,True,Industrial_Client_15,359,10968,1826,2020,11,4,48,2020-11,Thursday,59,6785,1185420,99.43
20,2021-03-12,FAN_STD,CON_6,121,2485,300685,Fan,Cooling,Standard,1800,3000,True,Industrial_Client_6,443,2990,1826,2021,3,1,10,2021-03,Friday,88,10648,290037,96.46
21,2022-12-03,EX_FLAT,CON_4,117,2148,251316,Exhaust Flat,Cooling,Exhaust,1600,2200,True,Industrial_Client_4,96,1878,1826,2022,12,4,48,2022-12,Saturday,71,8307,243009,96.69
22,2021-08-04,ESP,CON_10,124,8995,1115380,Espresso Machine,Kitchen,Coffee,6000,10000,True,Industrial_Client_10,333,6288,1826,2021,8,3,31,2021-08,Wednesday,58,7192,1108188,99.36
23,2020-12-04,BL_IND,CON_1,132,5467,721644,Industrial Blender,Industrial,Blender,4000,7000,True,Industrial_Client_1,131,5291,1826,2020,12,4,49,2020-12,Friday,86,11352,710292,98.43
24,2023-09-28,EX_FLAT,CON_12,128,1673,214144,Exhaust Flat,Cooling,Exhaust,1600,2200,True,Industrial_Client_12,432,1633,1826,2023,9,3,39,2023-09,Thursday,71,9088,205056,95.76
25,2022-04-17,SW,CON_3,134,2064,276576,Sandwich Maker,Kitchen,Heating,1200,2500,True,Industrial_Client_3,315,1418,1826,2022,4,2,15,2022-04,Sunday,76,10184,266392,96.32
26,2020-11-08,BL_CHOP,CON_5,107,2556,273492,Chopper Blender,Kitchen,Blender,1800,2600,True,Industrial_Client_5,454,2453,1826,2020,11,4,45,2020-11,Sunday,39,4173,269319,98.47
27,2021-10-29,BL_IND,CON_1,123,5883,723609,Industrial Blender,Industrial,Blender,4000,7000,True,Industrial_Client_1,131,5291,1826,2021,10,4,43,2021-10,Friday,86,10578,713031,98.54
28,2021-07-04,BL_CHOP,CON_5,124,2039,252836,Chopper Blender,Kitchen,Blender,1800,2600,True,Industrial_Client_5,454,2453,1826,2021,7,3,26,2021-07,Sunday,39,4836,248000,98.09
29,2023-10-17,BL_KIT,CON_9,120,2573,308760,Kitchen Blender,Kitchen,Blender,2500,3500,True,Industrial_Client_9,116,2750,1826,2023,10,4,42,2023-10,Tuesday,102,12240,296520,96.04
30,2021-12-12,AF_5,CON_19,129,5042,650418,Air Fryer 5L,Kitchen,AirFryer,4500,6500,True,Industrial_Client_19,152,5296,1826,2021,12,4,49,2021-12,Sunday,74,9546,640872,98.53
31,2022-10-08,FAN_STD,CON_6,124,2692,333808,Fan,Cooling,Standard,1800,3000,True,Industrial_Client_6,443,2990,1826,2022,10,4,40,2022-10,Saturday,88,10912,322896,96.73
32,2020-08-30,FAN_STD,CON_7,110,2295,252450,Fan,Cooling,Standard,1800,3000,True,Industrial_Client_7,455,2528,1826,2020,8,3,35,2020-08,Sunday,88,9680,242770,96.17
33,2023-03-10,BL_CHOP,CON_11,141,2216,312456,Chopper Blender,Kitchen,Blender,1800,2600,True,Industrial_Client_11,369,2407,1826,2023,3,1,10,2023-03,Friday,39,5499,306957,98.24
34,2021-03-06,EX_FLAT,CON_4,115,2022,232530,Exhaust Flat,Cooling,Exhaust,1600,2200,True,Industrial_Client_4,96,1878,1826,2021,3,1,9,2021-03,Saturday,71,8165,224365,96.49
35,2020-11-24,BL_CHOP,CON_11,113,2068,233684,Chopper Blender,Kitchen,Blender,1800,2600,True,Industrial_Client_11,369,2407,1826,2020,11,4,48,2020-11,Tuesday,39,4407,229277,98.11
36,2023-10-09,ESP,CON_13,131,7617,997827,Espresso Machine,Kitchen,Coffee,6000,10000,True,Industrial_Client_13,95,7293,1826,2023,10,4,41,2023-10,Monday,58,7598,990229,99.24
37,2020-10-16,ESP,CON_10,118,8412,992616,Espresso Machine,Kitchen,Coffee,6000,10000,True,Industrial_Client_10,333,6288,1826,2020,10,4,42,2020-10,Friday,58,6844,985772,99.31
38,2023-11-06,FAN_STD,CON_6,127,2980,378460,Fan,Cooling,Standard,1800,3000,True,Industrial_Client_6,443,2990,1826,2023,11,4,45,2023-11,Monday,88,11176,367284,97.05
39,2021-01-02,FAN_STD,CON_6,110,2562,281820,Fan,Cooling,Standard,1800,3000,True,Industrial_Client_6,443,2990,1826,2021,1,1,53,2021-01,Saturday,88,9680,272140,96.57
40,2021-07-21,BL_KIT,CON_9,116,3377,391732,Kitchen Blender,Kitchen,Blender,2500,3500,True,Industrial_Client_9,116,2750,1826,2021,7,3,29,2021-07,Wednesday,102,11832,379900,96.98
41,2022-11-24,AF_5,CON_19,109,6179,673511,Air Fryer 5L,Kitchen,AirFryer,4500,6500,True,Industrial_Client_19,152,5296,1826,2022,11,4,47,2022-11,Thursday,74,8066,665445,98.8
42,2023-01-21,EX_FLAT,CON_12,127,1978,251206,Exhaust Flat,Cooling,Exhaust,1600,2200,True,Industrial_Client_12,432,1633,1826,2023,1,1,3,2023-01,Saturday,71,9017,242189,96.41
43,2022-08-10,AF_75,CON_23,110,7657,842270,Air Fryer 7.5L,Kitchen,AirFryer,6500,9500,True,Industrial_Client_23,347,9230,1826,2022,8,3,32,2022-08,Wednesday,47,5170,837100,99.39
44,2023-09-18,AF_75,CON_2,130,6740,876200,Air Fryer 7.5L,Kitchen,AirFryer,6500,9500,True,Industrial_Client_2,160,8563,1826,2023,9,3,38,2023-09,Monday,47,6110,870090,99.3
45,2023-12-30,MX_IND,CON_22,115,9998,1149770,Industrial Mixer,Industrial,Mixer,6000,12000,True,Industrial_Client_22,450,11307,1826,2023,12,4,52,2023-12,Saturday,59,6785,1142985,99.41
46,2023-12-09,MX_IND,CON_17,122,10987,1340414,Industrial Mixer,Industrial,Mixer,6000,12000,True,Industrial_Client_17,426,10455,1826,2023,12,4,49,2023-12,Saturday,59,7198,1333216,99.46
47,2023-05-29,MX_IND,CON_15,117,10442,1221714,Industrial Mixer,Industrial,Mixer,6000,12000,True,Industrial_Client_15,359,10968,1826,2023,5,2,22,2023-05,Monday,59,6903,1214811,99.43
48,2023-12-08,SW,CON_3,110,2318,254980,Sandwich Maker,Kitchen,Heating,1200,2500,True,Industrial_Client_3,315,1418,1826,2023,12,4,49,2023-12,Friday,76,8360,246620,96.72
49,2023-06-25,ESP,CON_13,120,9656,1158720,Espresso Machine,Kitchen,Coffee,6000,10000,True,Industrial_Client_13,95,7293,1826,2023,6,2,25,2023-06,Sunday,58,6960,1151760,99.4
50,2020-03-30,EX_FLAT,CON_4,137,1845,252765,Exhaust Flat,Cooling,Exhaust,1600,2200,True,Industrial_Client_4,96,1878,1826,2020,3,1,14,2020-03,Monday,71,9727,243038,96.15
51,2021-01-26,BL_IND,CON_1,119,6365,757435,Industrial Blender,Industrial,Blender,4000,7000,True,Industrial_Client_1,131,5291,1826,2021,1,1,4,2021-01,Tuesday,86,10234,747201,98.65
52,2020-10-19,BL_CHOP,CON_16,135,1866,251910,Chopper Blender,Kitchen,Blender,1800,2600,True,Industrial_Client_16,231,2002,1826,2020,10,4,43,2020-10,Monday,39,5265,246645,97.91
53,2023-03-07,EX_CIRC,CON_18,118,2217,261606,Exhaust Circular,Cooling,Exhaust,2000,2800,True,Industrial_Client_18,308,2572,1826,2023,3,1,10,2023-03,Tuesday,88,10384,251222,96.03
54,2021-03-03,AF_5,CON_19,109,4939,538351,Air Fryer 5L,Kitchen,AirFryer,4500,6500,True,Industrial_Client_19,152,5296,1826,2021,3,1,9,2021-03,Wednesday,74,8066,530285,98.5
55,2023-11-17,BL_KIT,CON_9,130,2741,356330,Kitchen Blender,Kitchen,Blender,2500,3500,True,Industrial_Client_9,116,2750,1826,2023,11,4,46,2023-11,Friday,102,13260,343070,96.28
56,2022-11-08,ESP,CON_13,113,7234,817442,Espresso Machine,Kitchen,Coffee,6000,10000,True,Industrial_Client_13,95,7293,1826,2022,11,4,45,2022-11,Tuesday,58,6554,810888,99.2
57,2023-01-18,AF_75,CON_14,112,9190,1029280,Air Fryer 7.5L,Kitchen,AirFryer,6500,9500,True,Industrial_Client_14,453,9348,1826,2023,1,1,3,2023-01,Wednesday,47,5264,1024016,99.49
58,2021-05-05,AF_75,CON_2,131,7955,1042105,Air Fryer 7.5L,Kitchen,AirFryer,6500,9500,True,Industrial_Client_2,160,8563,1826,2021,5,2,18,2021-05,Wednesday,47,6157,1035948,99.41
59,2020-12-26,EX_CIRC,CON_24,118,2378,280604,Exhaust Circular,Cooling,Exhaust,2000,2800,True,Industrial_Client_24,99,2619,1826,2020,12,4,52,2020-12,Saturday,88,10384,270220,96.3
60,2022-04-27,EX_FLAT,CON_20,100,2011,201100,Exhaust Flat,Cooling,Exhaust,1600,2200,True,Industrial_Client_20,252,1646,1826,2022,4,2,17,2022-04,Wednesday,71,7100,194000,96.47
61,2023-07-19,BL_IND,CON_1,117,5080,594360,Industrial Blender,Industrial,Blender,4000,7000,True,Industrial_Client_1,131,5291,1826,2023,7,3,29,2023-07,Wednesday,86,10062,584298,98.31
62,2021-09-25,EX_CIRC,CON_24,117,2488,291096,Exhaust Circular,Cooling,Exhaust,2000,2800,True,Industrial_Client_24,99,2619,1826,2021,9,3,38,2021-09,Saturday,88,10296,280800,96.46
